"unique_id","pnl_usdc_terms","pnl_eth_terms","hodl_usdc_terms","hodl_eth_terms","strat_usdc_terms","strat_eth_terms"
"126671",13889.6156157518,0.000619447755495273,120624.096073905,32.0027849927978,127379.280519862,33.7950033177184
"126680",739.391228679671,-0.424343363928256,30591.0901975987,8.5266671877268,30272.3391653396,8.43782158103996
"126692",56.708203749298,0.0191771304884924,4245.6347863305,1.27497547444558,4305.95995101319,1.29309128264226
"126734",1355.29343030287,-0.340867640862379,234906.6947,68.9243524050248,236261.988130303,69.3220112377017
"126736",127.270289145092,-0.0323457111391785,18802.305039006,5.50231392706421,18779.0097086741,5.49549677245179
"126764",18.3653231240844,-0.0131331828728814,1667.13881859583,0.471327381845706,1655.69534304918,0.468092124344378
"126780",305.080790859138,-0.143589596885197,42292.2364144605,12.3713271649398,42221.4539255141,12.3506218676431
"126787",-7673.39215709809,0.320662104999907,55243.5000883402,18.9798268345742,54733.0344286801,18.8044478341515
"126788",1079.88814941385,-0.056194486694265,57696.6037377744,16.729777295632,58159.2239955337,16.8639192274506
"126823",1678.79335150484,-0.0873852423100142,47081.2436842861,13.2136790758545,47072.1102141745,13.2111157038307
"126825",41.4738872312009,0.0121313767461189,12820026.937112,3749.93971029643,12820068.4109992,3749.95184167318
"126828",742.48507159586,0.148050738600748,43630.5156385491,12.6984057967666,44261.9287631224,12.882174885073
"126830",-169.149452260857,0.110136499371614,16765.3808195574,5.06897711581541,16863.6847324511,5.09869909411201
"126838",-52.842541217914,0.028612899201759,29463.2934365429,8.6554938288342,29522.9116884104,8.67300800837549
"126840",2183.69805494911,0.0165732783108936,46779.398162658,12.9661616400119,46893.648086238,12.9978290627381
"126852",231.650330707052,0.0676717083051841,12483189.575042,3646.69785302318,12483421.2253727,3646.76552473149
"126884",1732.01034373869,-2.04836457326576,136101.70167971,37.4414271856742,134873.800020651,37.103632801097
"126888",-14452.1614758588,0.101496709567551,79881.6290858,27.8369112219183,80022.0088575939,27.8858303449946
"126894",1474.38562094103,-1.1381470747461,81587.2129665642,22.4274579527841,80838.0080689408,22.2215094869828
"126909",7285.17578924022,-0.0485707669544213,761870.514651565,231.916117860531,766950.162076377,233.462380759813
"126938",299.416745099006,0.0878886844247546,44361631.0145607,13021.601004509,44361930.4313058,13021.6888931934
"126948",-1890.33593040273,0.305112302406459,14334.7594793062,5.10321700307052,13887.025927695,4.94382252723536
"126957",-30.0132633480595,0.00936941789649884,26969.6524564741,7.9438867018816,26971.0920777022,7.9443107410103
"126961",423.947860008493,-0.210977597321293,28528.8591283138,8.06549456975101,28386.905133806,8.02536225437495
"126964",5233.17428162872,0.214057622706964,157078.104706898,43.4407105452842,159982.809667522,44.2440207688786
"126998",7545.24039799814,-0.878297768828107,59407.2070698396,14.2130571116461,55942.5152301168,13.3841364230444
"127016",-13080.8626443096,6.88884049734457,595477.411230844,195.828822691443,597379.79744613,196.454441809512
"127085",-6055.31035087452,2.03416956625331,27159.2439107658,11.0628925916253,27604.4404087265,11.2442364116259
